Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman & Nicobar Islands,Chandigarh,Dadra & Nagar Haveli &Daman&diu,Delhi
2023,8401,140,2953,10336,6337,325,7788,5133,1012,837,4325,13642,5435,14953,17133,147,140,228,97,5882,4929,12277,151,20790,7561,299,1324,24051,6211,18,72,107,1723
2024,8511,132,2912,12006,6883,390,7961,5361,993,871,4799,15903,6842,16652,19281,170,121,460,129,6329,5108,13574,248,24169,7563,371,1682,25601,6427,17,62,127,2032
2025,8622,124,2872,13946,7476,468,8138,5599,974,906,5325,18539,8614,18544,21698,196,105,928,171,6810,5294,15008,407,28097,7565,461,2137,27251,6651,16,54,150,2396
2026,8735,117,2832,16200,8120,561,8319,5848,955,942,5909,21612,10845,20651,24418,226,91,1873,227,7327,5487,16594,669,32663,7567,573,2716,29007,6883,15,47,178,2825
2027,8849,110,2793,18818,8820,673,8504,6108,937,980,6557,25195,13654,22998,27479,261,79,3779,301,7884,5687,18347,1099,37971,7569,712,3451,30876,7123,14,41,211,3331
2028,8965,104,2754,21859,9580,807,8693,6379,919,1019,7276,29372,17190,25611,30924,301,68,7625,400,8483,5894,20285,1806,44142,7571,884,4385,32866,7371,13,35,250,3928
2029,9082,98,2716,25392,10406,968,8887,6662,902,1060,8073,34241,21642,28521,34801,348,59,15386,531,9127,6108,22428,2967,51315,7573,1098,5572,34984,7628,12,30,296,4632
2030,9201,92,2678,29496,11303,1161,9085,6958,885,1102,8958,39917,27247,31762,39164,402,51,31047,705,9820,6330,24797,4874,59654,7575,1364,7081,37239,7894,11,26,351,5462
