Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal,Andaman & Nicobar Islands,Chandigarh,Dadra & Nagar Haveli &Daman&diu,Delhi
2023,8401.39860737845,139.515923566879,2952.581027667984,10336.08407310705,6336.912306832993,324.96017699115043,7787.6977992485245,5133.281980450489,1012.3802281368821,837.2416020671834,4325.193282095076,13641.841402669856,5434.963254593175,14952.668906029692,17132.626848018925,146.62727272727273,140.3422459893048,228.01785714285714,96.89090909090908,5882.324148789608,4929.077358901722,12277.09011251618,151.14285714285714,20790.266250650024,7561.000529310573,299.38659793814435,1324.1024390243902,24051.16243463514,6211.035172413793,18.05,71.76041666666667,106.57894736842104,1722.7772397094432
2024,8511.214103468055,131.51819546431906,2911.7350450717863,12006.589566906856,6883.177508483277,389.66463701151224,7961.175769548479,5361.258167002583,993.1334557388425,870.7745344497192,4799.203932139655,15903.250457665139,6842.4428025893085,16651.694899333223,19280.537487746904,169.2878512396694,121.57991363779348,460.10746173469386,128.60066115702477,6329.2001813487095,5108.453240125646,13574.112178570114,248.30612244897958,24168.819658516964,7563.001588071804,371.9184025932618,1682.578953004164,25601.16903992938,6427.3505353151,17.1475,62.042860243055564,126.2119113573407,2031.4588758801426
2025,8622.465008558585,123.9789358517148,2871.4541254759315,13947.080152263341,7476.532784303005,467.2527284518576,8138.518117608739,5599.35909282144,974.2525915612979,905.6505170956382,5325.162803154107,18539.53345841776,8614.413992061254,18543.77601504082,21697.73083334261,195.4505191585274,105.32591448835585,928.4311281432215,170.68815026296014,6810.025072118362,5294.356855532266,15008.159079044364,407.9314868804664,28096.409956637894,7565.003176423814,462.0223454895675,2138.106425646755,27251.06771834006,6651.19964016573,16.290125,53.64122291847512,149.46147397579819,2395.44908608627
2026,8735.170085020321,116.87186309588401,2831.7304518033393,16201.190495409817,8121.037472281463,560.2897761524487,8319.810925918327,5848.034411648401,955.7306791742009,941.9233414237581,5908.763053428611,21612.83328655157,10845.268359209225,20650.84851571312,24417.96675094677,225.6565084830271,91.2449098776131,1873.4413835747148,226.54972671265617,7327.377892003757,5487.0257583158555,16593.70690169358,670.1731570179091,32662.259208561627,7567.005294506763,573.9555941391019,2716.9596286877054,29007.296136801888,6882.844869012881,15.475618749999999,46.37730731493162,176.99385076081361,2824.657881171946
2027,8849.348340468303,110.17220215408175,2792.556315118313,18819.607444929054,8821.100840307216,671.8518997226265,8505.142194531109,6107.753746972353,937.5608943990259,979.6489532895675,6556.321771211138,25195.59425375837,13653.841792565245,22997.341214272215,27479.237567741988,260.53069615767674,79.04639251429585,3780.3370775704066,300.69327363679815,7884.03364211465,5686.70614655703,18346.7610710351,1100.9987579579936,37970.08864313027,7569.007942460847,713.0066916882657,3452.526747673889,30876.706845575856,7122.557742037122,14.701837812499999,40.097046949367964,209.59798116412136,3330.7709155707935
2028,8965.01903096795,103.8565982089433,2753.92411313051,21861.209796994608,9581.512251415434,805.6277204638575,8694.601883781266,6379.007578913965,919.7365427944816,1018.8855392740335,7274.848353026194,29372.269770619692,17189.744828960094,25610.458694868794,30924.29869391662,300.7945310184086,68.47869298029907,7628.180174383142,399.1019813724775,8482.978138445345,5893.653177822017,20285.017916237553,1808.7836737881323,44140.47486308774,7571.0111204262985,885.7454262725363,4387.235208629503,32866.59401591306,7370.619235811518,13.966745921874999,34.66723850830772,248.20813558909106,3927.5676413631395
2029,9082.20166428258,97.9030352542905,2715.826348719613,25394.39226810157,10407.473929390735,966.0403196712628,8888.281957950308,6662.308170497692,902.2510571900237,1059.6936164284198,8072.120375774582,34241.31309581507,21641.332291227973,28520.49671526941,34801.265768493984,347.28095853943535,59.32378750164946,15392.577851880269,529.7171752761974,9127.424027333342,6108.1312952106155,22428.043307965927,2971.5731783662172,51313.58895290308,7573.014828543389,1100.3332357303157,5574.998887063344,34984.72190086002,7627.320112644953,13.268408625781248,29.972716626974382,293.93068688181836,4631.296468144913
